hr,steps,gsr,calories,temp,mood
90.0,0,0.000134365,2.3,89.6,-1.0
83.0,0,0.000237618,1.7,89.6,-1.0
79.0,0,0.000496121,1.4,89.6,-1.0
85.0,0,0.000444131,1.9,89.6,-1.0
85.0,0,0.00019904799999999998,1.9,89.6,-1.0
82.0,0,0.00015776,1.7,89.6,-1.0
81.0,0,0.00037618,1.5,89.6,-1.0
85.0,0,0.0005128730000000001,1.9,89.6,-1.0
90.0,0,0.00011070100000000001,2.1,89.6,1.0
89.0,0,0.00011962,2.1,89.6,1.0
88.0,0,6.95394e-05,2.1,89.6,1.0
80.0,44,0.00010020399999999999,1.8,89.6,1.0
82.0,0,7.03135e-05,1.6,89.6,1.0
82.0,0,7.51423e-05,1.6,89.6,1.0
84.0,0,7.68245e-05,1.7,89.6,1.0
84.0,0,7.55594e-05,2.0,89.6,1.0
93.0,7,6.471149999999999e-05,2.3,88.7,1.0
91.0,0,6.65274e-05,2.1,88.7,1.0
87.0,0,6.5795e-05,1.9,88.7,1.0
93.0,0,5.79302e-05,2.4,88.7,1.0
92.0,0,5.69762e-05,2.1,88.7,1.0
94.0,0,5.69762e-05,2.2,88.7,1.0
87.0,0,5.72925e-05,2.0,88.7,1.0
94.0,32,5.6349e-05,2.4,88.7,1.0
87.0,0,6.15669e-05,1.9,88.7,1.0
94.0,30,5.69762e-05,2.3,88.7,1.0
99.0,17,5.66617e-05,2.9,88.7,1.0
87.0,0,5.79302e-05,1.9,88.7,1.0
81.0,0,5.69762e-05,1.5,88.7,1.0
77.0,0,5.69762e-05,1.5,88.7,1.0
87.0,16,6.15669e-05,2.1,88.7,1.0
102.0,0,5.66617e-05,3.4,88.7,1.0
108.0,0,5.79302e-05,4.5,88.7,1.0
88.0,0,5.82517e-05,2.2,88.7,1.0
98.0,10,5.89002e-05,2.7,88.7,1.0
88.0,0,5.92271e-05,1.9,88.7,1.0
84.0,0,5.92271e-05,1.6,88.7,1.0
85.0,0,5.89002e-05,1.7,88.7,1.0
85.0,0,5.6349e-05,1.6,88.7,1.0
83.0,0,5.66617e-05,1.6,88.7,1.0
82.0,0,5.66617e-05,1.5,89.6,1.0
87.0,0,5.92271e-05,1.8,90.5,1.0
91.0,0,6.32945e-05,2.2,90.5,1.0
90.0,0,6.22522e-05,2.1,90.5,1.0
90.0,0,6.61602e-05,2.0,90.5,1.0
89.0,0,5.76104e-05,1.9,90.5,1.0
90.0,0,5.76104e-05,2.1,90.5,1.0
90.0,0,5.82517e-05,2.0,90.5,1.0
87.0,0,5.79302e-05,1.8,90.5,1.0
88.0,0,6.76413e-05,2.0,90.5,1.0
85.0,0,5.76104e-05,1.7,90.5,1.0
82.0,0,6.364579999999999e-05,1.5,90.5,1.0
103.0,0,5.5115100000000004e-05,4.3,86.0,-1.0
90.0,0,5.48109e-05,2.2,86.0,-1.0
84.0,0,5.5421000000000004e-05,1.9,86.0,-1.0
92.0,14,5.48109e-05,2.0,86.0,-1.0
93.0,0,5.5728599999999994e-05,2.1,86.0,-1.0
83.0,0,5.48109e-05,1.7,85.1,-1.0
82.0,13,5.48109e-05,1.8,85.1,-1.0
90.0,0,5.5115100000000004e-05,2.2,86.0,-1.0
89.0,0,5.5421000000000004e-05,2.0,86.0,-1.0
94.0,10,5.48109e-05,2.6,85.1,-1.0
105.0,25,5.5115100000000004e-05,3.7,85.1,-1.0
125.0,118,5.5728599999999994e-05,9.4,81.5,-1.0
122.0,120,6.08891e-05,9.4,81.5,-1.0
116.0,114,5.45083e-05,8.3,80.6,-1.0
116.0,114,5.36107e-05,7.9,80.6,-1.0
110.0,0,0.000118304,6.0,80.6,-1.0
95.0,0,9.85534e-05,2.5,79.7,-1.0
83.0,0,9.965049999999999e-05,1.7,80.6,-1.0
85.0,0,5.79302e-05,1.8,81.5,-1.0
84.0,0,0.000126428,1.7,81.5,-1.0
96.0,99,6.39991e-05,2.1,82.4,-1.0
113.0,113,6.364579999999999e-05,6.2,82.4,-1.0
85.0,0,6.471149999999999e-05,1.7,86.0,1.0
80.0,0,5.5728599999999994e-05,1.5,86.9,1.0
83.0,0,6.435430000000001e-05,1.7,86.9,1.0
91.0,0,5.66617e-05,2.2,86.9,1.0
94.0,0,5.5728599999999994e-05,2.3,86.9,1.0
98.0,0,5.5421000000000004e-05,2.6,86.9,1.0
91.0,0,5.5728599999999994e-05,2.3,87.8,1.0
86.0,0,6.83943e-05,1.9,87.8,1.0
83.0,0,5.5728599999999994e-05,1.6,87.8,1.0
73.0,0,5.72925e-05,1.5,87.8,1.0
82.0,8,5.72925e-05,1.7,87.8,1.0
93.0,0,5.60379e-05,2.3,87.8,1.0
87.0,0,5.66617e-05,1.9,87.8,1.0
91.0,0,5.66617e-05,2.1,87.8,1.0
89.0,0,5.6349e-05,2.0,87.8,1.0
95.0,0,5.60379e-05,2.6,87.8,1.0
86.0,0,5.60379e-05,1.8,87.8,1.0
89.0,0,5.6349e-05,2.1,87.8,1.0
97.0,0,5.66617e-05,2.6,87.8,1.0
99.0,0,5.6349e-05,2.8,87.8,1.0
98.0,0,5.66617e-05,2.8,87.8,1.0
98.0,0,5.6349e-05,2.7,87.8,1.0
90.0,0,5.79302e-05,2.1,89.6,1.0
87.0,0,5.76104e-05,1.8,89.6,1.0
90.0,0,5.72925e-05,2.1,89.6,1.0
83.0,0,5.76104e-05,1.8,89.6,1.0
91.0,0,5.79302e-05,2.2,89.6,1.0
93.0,0,5.85751e-05,2.2,89.6,1.0
87.0,0,5.72925e-05,1.9,89.6,1.0
95.0,14,5.76104e-05,2.5,89.6,1.0
94.0,0,5.72925e-05,2.3,89.6,1.0
98.0,0,5.82517e-05,2.6,89.6,1.0
99.0,0,5.82517e-05,2.7,89.6,1.0
70.0,0,5.5728599999999994e-05,1.5,86.9,1.0
93.0,10,5.5728599999999994e-05,2.4,86.9,1.0
95.0,0,5.5115100000000004e-05,2.5,86.9,1.0
94.0,0,5.5421000000000004e-05,2.2,86.9,1.0
99.0,0,5.5728599999999994e-05,2.7,86.9,1.0
100.0,0,5.60379e-05,2.9,86.9,1.0
107.0,0,5.5728599999999994e-05,3.4,86.9,1.0
107.0,0,5.5728599999999994e-05,3.9,87.8,1.0
99.0,0,5.69762e-05,2.8,87.8,1.0
101.0,0,5.66617e-05,2.9,87.8,1.0
104.0,0,5.66617e-05,3.1,87.8,1.0
91.0,0,5.79302e-05,2.2,89.6,1.0
89.0,0,5.76104e-05,2.0,89.6,1.0
90.0,0,5.72925e-05,2.1,89.6,1.0
88.0,0,5.76104e-05,1.9,89.6,1.0
91.0,0,5.82517e-05,2.1,89.6,1.0
96.0,0,5.72925e-05,2.5,89.6,1.0
91.0,0,5.72925e-05,2.1,88.7,1.0
89.0,0,5.76104e-05,2.2,88.7,1.0
71.0,0,5.76104e-05,1.5,88.7,1.0
86.0,0,5.76104e-05,1.8,88.7,1.0
93.0,0,5.69762e-05,2.3,88.7,1.0
88.0,0,5.5728599999999994e-05,1.9,86.9,-1.0
89.0,0,5.6349e-05,2.1,86.9,-1.0
90.0,0,5.5728599999999994e-05,2.2,86.9,-1.0
89.0,0,5.60379e-05,2.0,87.8,-1.0
92.0,0,5.6349e-05,2.2,87.8,-1.0
95.0,0,5.6349e-05,2.4,87.8,-1.0
91.0,0,5.6349e-05,2.2,87.8,-1.0
84.0,0,5.66617e-05,1.6,87.8,-1.0
86.0,0,5.69762e-05,1.8,87.8,-1.0
88.0,0,5.72925e-05,1.9,87.8,-1.0
90.0,0,6.0553e-05,2.1,88.7,-1.0
122.0,0,5.5728599999999994e-05,8.1,86.9,1.0
105.0,0,5.5728599999999994e-05,3.4,86.9,1.0
111.0,0,5.5728599999999994e-05,5.5,86.9,1.0
110.0,29,5.60379e-05,5.3,86.9,1.0
99.0,0,5.5728599999999994e-05,2.7,86.9,1.0
90.0,0,5.5728599999999994e-05,2.1,86.9,1.0
93.0,0,5.5115100000000004e-05,2.4,86.9,1.0
92.0,0,5.5421000000000004e-05,2.1,86.9,1.0
98.0,0,5.5421000000000004e-05,2.5,86.9,1.0
105.0,0,5.5421000000000004e-05,3.0,86.9,1.0
106.0,0,5.66617e-05,2.9,86.9,1.0
92.0,0,5.66617e-05,2.2,88.7,1.0
90.0,0,5.72925e-05,2.1,88.7,1.0
87.0,0,5.72925e-05,1.8,88.7,1.0
90.0,0,5.76104e-05,2.0,88.7,1.0
