hr,sent_num
94,P
94,P
94,P
96,P
96,P
94,P
93,P
96,P
97,P
95,P
94,P
93,P
92,P
89,P
90,P
90,P
90,P
91,P
93,P
91,P
91,P
89,P
89,P
89,P
89,P
89,P
89,P
84,P
89,P
91,P
92,P
93,P
94,P
96,P
92,P
92,P
93,P
95,P
93,P
90,P
91,P
90,P
89,P
90,P
92,P
92,P
92,P
92,P
92,P
95,P
97,P
94,P
91,P
89,P
88,P
87,P
85,P
86,P
87,P
94,P
96,P
98,P
94,P
92,P
95,P
96,P
97,P
95,P
96,P
98,P
84,P
85,P
84,P
84,P
83,P
80,P
81,P
81,P
81,P
81,P
82,P
82,P
82,P
82,P
90,P
90,P
90,P
91,P
87,P
93,P
95,P
94,P
93,P
93,P
94,P
92,P
91,P
90,P
87,P
86,P
85,P
101,P
101,P
101,P
101,P
100,P
99,P
98,P
102,N
102,N
102,N
101,N
101,N
102,P
100,P
99,P
96,P
97,P
98,P
100,P
102,P
101,P
104,P
86,P
86,P
89,P
90,P
91,P
93,P
94,P
93,P
90,P
90,P
100,P
101,P
103,P
105,P
107,P
110,P
112,P
114,P
115,P
89,N
90,N
92,N
98,N
102,N
104,N
105,N
106,N
110,N
112,N
95,P
95,P
93,P
93,P
93,P
95,P
89,P
89,P
89,P
91,P
92,P
92,P
93,P
87,P
86,P
84,P
81,P
79,P
77,P
77,P
90,P
90,P
92,P
92,P
92,P
92,P
101,P
105,P
101,P
101,P
103,P
104,P
103,P
102,P
102,P
103,P
100,P
98,P
99,P
102,P
104,P
102,P
102,P
102,P
100,P
100,P
100,P
100,P
100,P
102,P
100,P
101,P
102,P
101,P
102,P
103,P
93,P
93,P
93,P
93,P
95,P
95,P
95,P
95,P
93,P
92,P
92,P
92,P
92,P
90,P
87,P
79,P
81,P
81,P
81,P
83,P
83,P
83,P
83,P
103,P
103,P
103,P
103,P
85,N
82,N
82,N
82,N
82,N
90,P
94,P
92,P
95,P
97,P
96,P
97,P
99,P
100,P
100,P
96,N
95,N
95,N
94,N
93,N
93,N
92,N
92,N
91,N
92,N
89,P
90,P
90,P
91,P
92,P
92,P
92,N
92,N
92,N
92,N
85,P
86,P
87,P
88,P
87,P
88,P
87,P
87,P
87,P
88,N
88,N
88,N
88,N
88,N
88,N
88,N
89,N
88,N
88,N
88,P
88,P
88,P
90,P
90,P
89,P
91,P
94,P
96,P
101,P
104,P
107,P
105,P
102,P
98,P
99,P
100,P
91,P
90,P
88,P
88,P
87,P
90,P
90,P
90,P
88,P
87,P
89,P
90,P
88,P
87,P
87,P
89,P
90,P
91,P
89,P
89,P
89,P
91,P
90,P
90,P
94,P
94,P
91,P
91,P
83,P
80,P
80,P
81,P
82,P
82,P
84,P
84,P
84,P
85,P
89,P
91,P
93,P
90,P
90,P
90,P
90,P
89,P
91,P
93,P
93,P
93,P
103,P
102,P
103,P
103,P
104,P
105,P
108,P
108,P
110,P
111,P
93,P
93,P
93,P
91,P
90,P
88,P
87,P
95,P
95,P
94,P
93,P
84,P
85,P
85,P
84,P
90,N
90,N
88,N
89,N
90,N
89,N
90,P
90,P
93,P
95,P
99,P
100,P
101,P
88,P
87,P
86,P
86,P
86,P
93,N
93,N
95,N
97,N
97,P
96,P
96,P
96,P
95,N
95,N
95,N
95,N
94,N
84,P
82,P
83,P
83,P
85,P
86,P
88,P
83,P
83,P
83,P
83,P
90,P
90,P
90,P
90,P
106,P
105,P
100,P
100,P
100,P
99,P
107,P
107,P
105,P
106,P
104,P
106,P
85,P
90,P
89,P
89,P
88,P
87,P
90,P
89,P
90,P
90,P
84,P
84,P
84,P
83,P
83,P
98,P
98,P
98,P
98,P
98,P
98,P
88,P
89,P
