hr,steps,gsr,calories,temp,sent_num
93.0,0,5.79302e-05,2.1,87.8,N
96.0,0,5.89002e-05,2.2,86.9,P
84.0,120,0.00013890200000000002,2.0,85.1,N
103.0,0,9.428469999999999e-05,2.9,90.5,P
111.0,0,5.85751e-05,3.6,90.5,N
110.0,0,5.76104e-05,3.2,88.7,N
112.0,0,5.89002e-05,3.6,89.6,P
108.0,0,0.00162183,3.1,89.6,N
101.0,0,0.00010358700000000001,2.7,90.5,P
95.0,0,6.54318e-05,2.5,88.7,P
86.0,8,6.1227e-05,1.9,86.0,P
97.0,0,0.00291615,2.4,86.9,P
105.0,0,0.000313379,2.9,90.5,N
94.0,0,0.00011193299999999999,2.1,88.7,P
94.0,0,5.79302e-05,2.1,86.9,P
82.0,0,6.95394e-05,1.6,89.6,P
91.0,0,6.1227e-05,2.1,89.6,P
99.0,0,6.689659999999999e-05,2.5,89.6,P
90.0,0,5.9555799999999997e-05,1.9,86.9,P
90.0,0,6.83943e-05,1.8,88.7,P
109.0,0,0.0439219,2.9,86.0,P
92.0,0,0.00156019,2.1,88.7,P
112.0,0,0.0115069,5.6,88.7,P
111.0,0,0.00619055,3.2,88.7,P
101.0,0,0.00234996,2.6,88.7,P
110.0,0,0.000255346,3.2,86.0,P
98.0,0,0.00054507,2.5,90.5,P
103.0,0,0.000165818,2.9,90.5,P
102.0,0,1.8418700000000001,2.5,88.7,P
94.0,0,0.00402005,2.2,81.5,P
99.0,0,0.00061907,2.6,83.3,P
88.0,49,0.000184206,2.0,86.9,N
102.0,0,0.00029324099999999997,2.8,89.6,P
99.0,0,0.00216273,2.6,89.6,P
99.0,0,0.7108909999999999,2.7,89.6,P
102.0,0,6.5423599999999995,2.8,89.6,P
100.0,17,3.3118,2.8,89.6,P
107.0,0,6.22522e-05,3.3,87.8,P
115.0,35,0.8118850000000001,5.0,86.0,P
103.0,0,0.000493382,2.4,83.3,P
100.0,0,6.190859999999999e-05,2.7,86.0,P
105.0,0,0.000150927,4.7,86.0,P
90.0,0,7.22866e-05,2.0,85.1,P
104.0,0,0.000148441,2.9,88.7,P
100.0,0,5.9555799999999997e-05,2.7,87.8,P
98.0,0,5.60379e-05,2.6,88.7,N
99.0,0,7.59788e-05,2.5,90.5,P
84.0,0,6.190859999999999e-05,1.4,86.9,P
105.0,0,6.190859999999999e-05,2.8,89.6,P
86.0,0,6.5795e-05,1.8,89.6,P
94.0,0,0.000173325,2.2,87.8,P
88.0,0,7.98595e-05,1.8,88.7,P
92.0,0,5.69762e-05,2.0,88.7,P
97.0,0,5.72925e-05,2.4,88.7,P
91.0,0,5.72925e-05,1.8,89.6,P
93.0,0,6.80167e-05,2.2,87.8,P
92.0,0,6.877390000000001e-05,2.0,86.0,N
91.0,0,5.85751e-05,2.1,87.8,P
91.0,0,5.79302e-05,2.0,87.8,P
92.0,0,5.69762e-05,2.0,87.8,P
92.0,0,5.69762e-05,2.0,88.7,N
91.0,0,5.6349e-05,2.0,88.7,P
89.0,0,5.72925e-05,1.8,89.6,P
90.0,0,8.030279999999999e-05,2.0,89.6,P
90.0,0,8.34751e-05,1.9,89.6,P
91.0,0,0.0010416,2.1,86.0,N
79.0,0,4.93394e-05,1.5,73.4,N
94.0,0,5.76104e-05,2.1,88.7,N
99.0,0,5.5421000000000004e-05,2.6,86.9,P
89.0,0,5.89002e-05,1.8,89.6,P
88.0,0,5.5421000000000004e-05,1.8,85.1,P
95.0,0,5.5728599999999994e-05,2.3,87.8,P
95.0,0,5.5115100000000004e-05,2.3,86.9,N
87.0,0,5.60379e-05,1.7,88.7,N
90.0,0,5.5115100000000004e-05,2.0,86.9,N
85.0,0,5.5421000000000004e-05,1.6,86.9,P
85.0,0,5.5115100000000004e-05,1.7,86.9,P
90.0,0,5.27279e-05,1.8,82.4,N
90.0,0,5.66617e-05,1.9,87.8,P
93.0,0,5.60379e-05,1.9,87.8,N
97.0,0,5.5421000000000004e-05,2.2,86.0,P
104.0,0,5.66617e-05,2.6,89.6,P
101.0,0,5.72925e-05,2.4,89.6,N
98.0,0,5.82517e-05,2.2,90.5,N
98.0,0,5.76104e-05,2.1,89.6,P
90.0,0,5.60379e-05,1.9,86.0,P
109.0,13,4.85269e-05,2.5,69.8,P
98.0,0,5.5115100000000004e-05,2.4,86.9,N
97.0,0,5.76104e-05,2.3,88.7,N
95.0,0,5.72925e-05,2.2,88.7,P
86.0,0,5.66617e-05,1.6,88.7,P
100.0,35,5.60379e-05,2.6,86.9,P
